Minor planet designation,Rotation period(hours),Δmag,Quality(U),Orbit or family,Spectral type,Diameter(km),Abs. mag(H),Refs,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,movie_name,category,run_time,genre,imdb_rating,votes,gross_total,rating,timestamp,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,Buying_Price,Maintenance_Price,No_of_Doors,Person_Capacity,Size_of_Luggage,Safety,Car_Acceptability,updateTime,per capita income,median household income,median family income,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,Season1Date,Season1Time,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Honey,Jams,Maple,Meat,PetFood,Tofu,WildHarvested,updateTime,Order Date,Product,Product_ean,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin,Cat_Sort,Category,varShort,varLong,Map,PopChangeRate1819,PopChangeRate1019,TotalPopEst2019,NetMigrationRate1019,NaturalChangeRate1019,Net_International_Migration_Rate_2010_2019,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,brand,model,offers/priceCurrency,features/0/description,country,ISO3,continent,Region 1,markup_GME,alpha,Q,II,VA,LAB,K,Subsidies,Taxes,Place, Latitude, Longitude, Country, Continent, Magnitude,title,published_at,view_count,like_count,comment_count,text,label,url,name,Price,listedOn,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
21723 Yinyinwu,297.9,0.47,2,MBA (outer),C,6.81,14.56,LCDB  ·  List,MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,1.39E+11,9048000000,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,The Godfather,R,175 min,"Crime, Drama",9.2,"1,860,471",$134.97M,2.5,1260759144,25921089,2926,0,2965.372893,-39.37289326,2926,0,-0.151895213,-0.013277552,vhigh,vhigh,4,more,med,high,unacc,6/20/2017 22:43,"$62,498 ","$69,659 ","$84,627 ", Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,Danville,Caledonia,Vermont,06/14/2017 to 08/30/2017,Wed: 9:00 AM-1:00 PM;,-72.140335,44.411037,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,6/20/2017 22:43,22/01/2019 21:25,iPhone,5.64E+12,"944 Walnut St, Boston, MA 02215",1,700,231,700,469,1,People,NativeAmericanNonHispanicNum2010,"Population size Non-Hispanic Native American, 2010",y,0.475,6.116,328239523,2.485,3.631,2.485,9.71,0,0,0,Dell,i7430-7374SLV-PUS,USD,Windows 11 brings back the Sta,Afghanistan,AFG,Asia,Southern Asia,2.3346694,1.0273149,172971.6075,61941.56508,111030.0424,15577.66,11581.997,-469.8216,2083.829,Bamako,12.6354,-8.0023, Mali, Africa,4.7,Se LibrÃ³ del ATAQUE de un Cocodrilo âŒðŸŠ,2024-01-27T19:16:13Z,39972377,1143891,8254,i just feel really helpless and heavy hearted,4,https://www.etsy.com/listing/812451905/balu-ball-pit-medium-foam-ball-pit-child?click_key=bac9a8d488978d4ad2db683a632486df74ecc96b%3A812451905&click_sum=c24c5b31&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-1-4&pro=1&frs=1,"BALU BALL PIT - Medium,  Foam ball pit child, kids ball pit, kids toys baby boy, montessori toys, first birthday gift for 1 year old girl",$125.43+,"Dec 11, 2023",HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹38,990"
(185492) 2007 HA8,295.4,0.67,2,Jupiter trojan,C,13.6,13.06,LCDB  ·  List,AOS,A.O. Smith Corp,Industrials,60.24,27.76,1.1479592,1.7,68.39,48.925,10783419933,601000000,3.5754826,6.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,The Silence of the Lambs,R,118 min,"Crime, Drama, Thriller",8.6,"1,435,344",$130.74M,3,1260759179,25921089,2902,0,2956.53956,-54.53955993,2902,0,-0.210406129,-0.018447093,vhigh,vhigh,5more,2,small,low,unacc,6/21/2017 17:15,"$62,018 ","$103,208 ","$139,244 ", Stearns Homestead Farmers' Market,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,,,,6975 Ridge Road,Parma ,Cuyahoga,Ohio,06/24/2017 to 09/30/2017,Sat: 9:00 AM-1:00 PM;,-81.73394,41.374802,Y,N,N,Y,N,-,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,6/21/2017 17:15,28/01/2019 14:15,Lightning Charging Cable,5.56E+12,"185 Maple St, Portland, OR 97035",1,14.95,7.475,14.95,7.475,1,People,AsianNonHispanicNum2010,"Population size Non-Hispanic Asian, 2010",y,0.317,2.461,4903185,1.059,1.402,0.809,7.48,3.3,3.3,1.222930915,Dell,i3520-5810BLK-PUS,USD,Experience the most secure Windows ever bu,Albania,ALB,Europe,Southern Europe,1.4493492,1.0172517,319544.5332,257876.7785,61667.7547,8905.68,6432.841,-602.6809,1156.0096,Niamey,13.513,2.1151, Niger, Africa,5.7,#Sareedrapping#pregnancydrapping#babyshower#shortsfeed#shorts,2024-02-11T14:43:07Z,37983493,1239925,2823,ive enjoyed being able to slouch about relax and unwind and frankly needed it after those last few weeks around the end of uni and the expo i have lately started to find myself feeling a bit listless which is never really a good thing,0,https://www.etsy.com/listing/1383548093/rainbow-night-light-newborn-gift-nursery?click_key=245e1b4b8a1ca90ee4b64f3a0331cfb60ffdb1ba%3A1383548093&click_sum=1de0fc01&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-1-3&pro=1&bes=1&sts=1,Rainbow Night Light / Newborn Gift / Nursery Room / Baby Gift / Children Child Bedroom,$26.67,"Feb 10, 2024",HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹37,990"
11780 Thunder Bay,295,0.7,3,MBA (inner),S,7.13,13.1,LCDB  ·  List,ABT,Abbott Laboratories,Health Care,56.27,22.51,1.9089824,0.26,64.6,42.28,1.02E+11,5744000000,3.7404804,3.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,Star Wars: Episode V - The Empire Strikes Back,PG,124 min,"Action, Adventure, Fantasy",8.7,"1,294,805",$290.48M,3,1260759182,25921089,2914,0,2932.03956,-18.03955993,2914,0,-0.069594144,-0.006152564,high,high,2,more,small,high,unacc,10/28/2014 9:49,"$59,088 ","$120,000 ","$152,857 ",10th Steet Community Farmers Market,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,10th Street and Poplar,Lamar ,Barton,Missouri,04/02/2014 to 11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,-94.27462,37.495628,Y,N,N,N,N,-,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,10/28/2014 9:49,17/01/2019 13:33,Wired Headphones,2.11E+12,"538 Adams St, San Francisco, CA 94016",2,11.99,5.995,23.98,11.99,1,People,WhiteNonHispanicPct2010,"Percent Non-Hispanic White, 2010",y,0.605,2.001,55869,0.686,1.315,-0.029,24.96,11.87,5.46,-0.010222394,Lenovo,82YL0002US,USD,Windows 11 brings back the Start Menu from Wi,Algeria,DZA,Africa,Northern Africa,1.5205412,0.71540272,1349981.817,716170.5069,633811.31,36456.72,45358.82,-7126.991,8136.301,Southern Chile,-39.8234,-73.0691, Chile, South America,4.9,Majburi Insaan Se Kuch Bhi Karva Deti Hai | PART 1 | #shorts #video #foryou #teamtushar,2024-01-24T05:17:00Z,29605580,938530,691,i gave up my internship with the dmrg and am feeling distraught,4,https://www.etsy.com/listing/1059851038/custom-name-baby-onesie-custom-text?click_key=cbb30cb618190b164753f07a68ff6457bce52172%3A1059851038&click_sum=80a859f7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-1-2&organic_search_click=1&pro=1&bes=1&sts=1,Custom Name Baby Onesie® Custom Text Personalized Baby Onesie® Pregnancy Announcement Onesie® Birth Reveal Baby Onesie® Baby Shower Gift,$7.99+,"Feb 11, 2024",Apple,2020 Macbook Air,M1,Mac OS Big Sur,256 GB,8 GB,33.78 cm (13.3 inch),No,"â‚¹70,990"
(183300) 2002 UH19,294.8,0.64,2,MBA (inner),S,1.09,17.17,LCDB  ·  List,ABBV,AbbVie Inc.,Health Care,108.48,19.41,2.4995599,3.29,125.86,60.05,1.81E+11,10310000000,6.291571,26.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,The Shawshank Redemption,R,142 min,Drama,9.3,"2,683,302",$28.34M,2,1260759185,25921089,3007,0,2940.372893,66.62710674,3007,0,0.257038224,0.022659407,high,high,2,more,big,med,acc,05/01/2015 10:40,"$56,791 ","$90,839 ","$117,357 ",112st Madison Avenue,,,,,,112th Madison Avenue,New York,New York,New York,July to November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,-73.949303,40.7939,N,N,Y,Y,N,-,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,03/01/2012 10:38,05/01/2019 20:33,27in FHD Monitor,3.07E+12,"738 10th St, Los Angeles, CA 90001",1,149.99,97.4935,149.99,52.4965,1,People,BlackNonHispanicPct2010,"Percent Non-Hispanic African American, 2010",y,2.469,21.911,223234,21.001,0.91,0.714,29.8,26.17,3.32,1.584454727,Microsoft,DTI-00001,USD,Find the releva,Andorra,AND,Europe,Southern Europe,1.5917796,1.0172517,31652.52044,26555.80916,5096.71128,880.513,642.2524,-1108.5555,115.50008,Freetown,8.4815,-13.2315, Sierra Leone, Africa,4.8,Tom ðŸ“ Jerry (Soumya&Ammu)Real End TwistðŸ˜ðŸŽˆ #shorts #viral,2024-01-17T14:14:43Z,22825107,438667,241,i dont know i feel so lost,0,https://www.etsy.com/listing/1127338960/floral-daisy-girls-personalized-name?click_key=fad06c97843ee9052703784ec18dc57baf946146%3A1127338960&click_sum=03792f9d&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-1-1&organic_search_click=1&pro=1&bes=1&sts=1,Floral Daisy Girls Personalized Name Premium UV400 Protection Sunglasses Toddlers Kids Babies Birthday Gift With Leather Case Goody Bag,$9.90+,"Feb 10, 2024",Apple,2020 Macbook Air,M1,Mac OS Big Sur,256 GB,8 GB,33.78 cm (13.3 inch),No,"â‚¹70,990"
(239303) 2007 PB43,292.1,0.92,2,MBA (outer),C,4.03,15.7,LCDB  ·  List,ACN,Accenture plc,Information Technology,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553,5643228000,2.604117,10.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,The Shining,R,146 min,"Drama, Horror",8.4,"1,025,560",$44.02M,4,1260759205,25921089,2910,0,2900.03956,9.960440075,2910,0,0.038426009,0.003434588,med,vhigh,5more,2,big,low,unacc,04/07/2014 16:32,"$54,608 ","$85,706 ","$107,511 ",12 South Farmers Market,http://www.12southfarmersmarket.com,12_South_Farmers_Market,@12southfrmsmkt,,@12southfrmsmkt,3000 Granny White Pike,Nashville,Davidson,Tennessee,05/05/2015 to 10/27/2015,Tue: 3:30 PM-6:30 PM;,-86.79071,36.11837,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,05/01/2015 10:40,25/01/2019 11:59,Wired Headphones,9.69E+12,"387 10th St, Austin, TX 73301",1,11.99,5.995,11.99,5.995,1,People,FemaleHHNum,"Number of female headed family households, 2015-19",n,-0.748,-9.664,24686,-8.797,-0.867,0.161,-5.44,-4.8,2.29,1.828364639,Microsoft,R1S-00062,USD,Find the rel,Angola,AGO,Africa,Middle Africa,1.9388226,1.0543656,156834.8934,77574.01402,79260.8794,11306.1,8302.516,-855.9738,1492.8662,Bamako,12.6422,-7.999, Mali, Africa,5.3,The success of people depends on their life conditionsðŸ«¡ðŸ’–ðŸ¥°#shortvideo #subscribers #success,2024-01-24T09:00:30Z,21029074,348898,1500,i am a kindergarten teacher and i am thoroughly weary of my job after having taken the university entrance exam i suffered from anxiety for weeks as i did not want to carry on with my work studies were the only alternative,4,https://www.etsy.com/listing/1665441647/personalized-growth-chart-wooden-growth?click_key=36271b6dc7bf63a40e494fe8d86910e5d9e36e64%3A1665441647&click_sum=dac940a7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-1-1&pro=1&frs=1&bes=1,Personalized Growth Chart  Wooden Growth Chart Personalized Nursery Decor Baby Shower Gift Height Chart for Kids,$31.40+,"Feb 10, 2024",Apple,2020 Macbook Air,M1,Mac OS Big Sur,256 GB,8 GB,33.78 cm (13.3 inch),No,"â‚¹70,990"
1506 Xosa,292,0.7,2+,MBA (inner),S,11.83,12,LCDB  ·  List,ATVI,Activision Blizzard,Information Technology,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144,2704000000,10.59512,5.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI,Casablanca,PG,102 min,"Drama, Romance, War",8.5,"574,092",$1.02M,2,1260759151,25921089,2917,0,2931.706227,-14.70622659,2917,0,-0.056734602,-0.005016269,med,vhigh,5more,4,big,low,unacc,04/03/2014 15:43,"$51,814 ","$72,745 ","$93,981 ",125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,Instagram--> 125thStreetFarmersMarket,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,06/10/2014 to 11/25/2014,Tue: 10:00 AM-7:00 PM;,-73.94825,40.808952,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,04/07/2014 16:32,29/01/2019 20:22,AAA Batteries (4-pack),2.95E+12,"775 Willow St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,1,People,TotalPop2010,Population size 4/1/2010 Census,n,0.121,-2.081,22394,-2.099,0.017,0.525,10.03,6.43,2.1,0.341485462,Dell,i7630-7312SLV-PUS,USD,Windows 11 has all the power and security ,Antigua,ATG,North America,Caribbean,2.1832457,0.96127862,17663.9321,10141.33674,7522.59536,1119.5,781.939,-95.84106,140.42812,Fort-de-France,14.6132,-61.06, Martinique, North America,5.7,ARE YOU NORMAL OR â€¦? #shorts,2024-02-08T21:07:37Z,17993330,1269873,7280,i was beginning to feel quite disheartened,0,https://www.etsy.com/listing/1421996614/my-other-pram-is-a-tesla-infant-fine?click_key=9b72b42808d680dab7f3173877f19abea0369ac0%3A1421996614&click_sum=6d52c069&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-1-2,"My Other Pram Is A Tesla - Infant Fine Jersey Bodysuit - The Sassiest Baby - Funny, Sassy Baby Clothing",$30.19+,"Jan 24, 2024",Lenovo,V15 G3 IAP,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"â‚¹49,990"
470 Kilia,290,0.26,2,Vestian,S,26.39,10.07,LCDB  ·  List,AYI,Acuity Brands Inc,Industrials,145.41,18.22,0.35118526,7.43,225.36,142,6242377704,587800000,1.7953473,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI,One Flew Over the Cuckoo's Nest,R,133 min,Drama,8.7,"1,010,102",$112.00M,2,1260759187,25921089,3030,0,2936.372893,93.62710674,3030,0,0.361200514,0.031885292,med,vhigh,5more,4,big,med,acc,04/05/2014 13:49,"$51,044 ","$106,686 ","$124,979 ",12th & Brandywine Urban Farm Market,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition,12th & Brandywine Streets,Wilmington,New Castle,Delaware,05/16/2014 to 10/17/2014,Fri: 8:00 AM-11:00 AM;,-75.534462,39.742119,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,04/03/2014 15:43,26/01/2019 12:16,27in 4K Gaming Monitor,5.17E+12,"979 Park St, Los Angeles, CA 90001",1,389.99,128.6967,389.99,261.2933,1,People,TotalPopEst2018,Population size 7/1/2018,n,0.095,0.784,57826,-0.005,0.79,0.207,12.34,12.27,3.14,2.07701489,Lenovo,82R400DTUS,USD,Windows 11 brings back the Start ,Argentina,ARG,South America,South America,1.6663908,1.0190758,20522695.85,8595068.549,11927627.3,4534300,1648378.4,-88781.52,182173.72,Santiago,-33.4463,-70.6682, Chile, South America,4.8,SÃ¼per â¤ï¸ Smart family ðŸ¤£ðŸ’•ðŸŽ¥ #shorts,2024-02-10T10:12:45Z,18027624,286190,442,i would think that whomever would be lucky enough to stay in this suite must feel like it is the most romantic place on earth,2,https://www.etsy.com/listing/1208475440/peek-a-boo-svg-peek-a-boo-baby-boy-svg?click_key=a2b972b52e4d1a8f31438fe9ddf89b5d7c9b0142%3A1208475440&click_sum=a0965319&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-2-2&organic_search_click=1&sts=1&dd=1,"Peek A Boo svg, Peek A Boo Baby Boy svg, Peek A Boo Bundle svg, Maternity svg, Pregnant svg, Mom to be svg, Baby Svg, Mother svg, Cute Baby",$4.00,"Feb 10, 2024",ASUS,X515EA-EJ522WS,Core i5,Windows 11 Home,NA,8 GB,39.62 cm (15.6 Inch),No,"â‚¹40,990"
2018 XV,290,0.28,2,NEO,S,0.24,20.44,LCDB  ·  MPC,ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,0,3.39,204.45,114.451,94550214268,2538040000,13.092818,11.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,Indiana Jones and the Raiders of the Lost Ark,PG,115 min,"Action, Adventure",8.4,"969,143",$248.16M,2,1260759148,25921089,3059,0,2989.03956,69.96044007,3059,0,0.269897766,0.023405659,med,vhigh,5more,4,big,high,acc,7/20/2016 11:16,"$50,532 ","$110,292 ","$128,596 ",14&U Farmers' Market,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,,1400 U Street NW ,Washington,District of Columbia,District of Columbia,05/03/2014 to 11/22/2014,Sat: 9:00 AM-1:00 PM;,-77.032051,38.917,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,04/05/2014 13:49,05/01/2019 12:04,USB-C Charging Cable,8.05E+12,"181 6th St, San Francisco, CA 94016",1,11.95,5.975,11.95,5.975,1,People,ForeignBornEuropeNum,"Number of persons born in Europe, 2015-19",n,-0.718,-7.126,10101,-7.769,0.644,0.699,-6.83,-9.13,3.2,3.661169156,Lenovo,82YL0005US,USD,Windows 11 brings back the Start Menu from Windows,Armenia,ARM,Asia,Western Asia,1.1404748,0.98403609,268762.2135,233764.0123,34998.20113,5359.394,0.329206,-0.216281,715.8752,East African Rift,-1.2921,36.8219, Kenya, Africa,4.6,Bro didn't even hesitate ðŸ¥¶ #shorts #sidemen #viral #trending,2024-01-30T19:00:18Z,17421206,1013966,2256,i fear that they won t ever feel that delicious excitement of christmas eve at least not in the same way i remember doing it,1,https://www.etsy.com/listing/1664532771/personalized-baby-name-sweater-for?click_key=d9f6c5d71576cb150952d03088a169b2b3a93aaa%3A1664532771&click_sum=402adf44&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-2-4&pro=1&bes=1&sts=1,"Personalized Baby Name Sweater for Newborns, Ideal for Baby Showers!",$34.57,"Feb 10, 2024",HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹46,990"
(17847) 1998 HQ115,289.8,0.64,2,MBA (middle),S,5.31,14.49,LCDB  ·  List,AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,0.21832074,6.19,169.55,78.81,8123611867,853941000,1.1301061,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP,The Lord of the Rings: The Return of the King,PG-13,201 min,"Action, Adventure, Drama",9,"1,849,082",$377.85M,3.5,1260759125,25921089,3090,1,2952.647472,137.3525281,3089,0.003857863,0.529887182,0.046518431,med,vhigh,5more,more,big,high,acc,07/05/2018 17:00,"$50,349 ","$106,143 ","$125,828 ",14th & Kennedy Street Farmers Market,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,instagram:14kenfm,"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,04/09/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,-77.033447,38.955978,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,7/20/2016 11:16,01/01/2019 10:30,Bose SoundSport Headphones,1.51E+12,"867 Willow St, Los Angeles, CA 90001",1,99.99,49.995,99.99,49.995,1,People,TotalPopEst2012,Population size 7/1/2012,n,-0.932,-7.09,19448,-5.738,-1.352,0.697,-2.11,-6.67,-0.25,0.206330598,Samsung,NP750QFG-KA1US,USD,From all night rabbit holes ,Australia,AUS,Oceania,Australia and New Zealand,1.7230814,1.097231,23110560.76,10597388.1,12513172.66,3217070,477117.5,-5.214219,29251.37,Manila,13.4165,122.5589, Philippines, Asia,5.1,CHAD WEIGHT IS FIX ðŸ—¿ #mrbombastic #shorts,2024-01-20T12:00:41Z,15366570,,879,im forever taking some time out to have a lie down because i feel weird,5,https://www.etsy.com/listing/1184332584/kids-and-baby-winter-knit-hat-winter?click_key=6ea7616f1854fcdba3e1154ad3d01beea47f0e2b%3A1184332584&click_sum=b2888357&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-2-3&sts=1,"Kids and Baby Winter Knit Hat, Winter Knit Toque for Kids",$32.62+,"Feb 3, 2024",ASUS,X1500EA-EJ311W,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹27,990"
(69026) 2002 VL93,288.1,0.63,2,MBA (inner),S,2.95,15.01,LCDB  ·  List,AMD,Advanced Micro Devices Inc,Information Technology,11.22,187,0,0.03,15.65,9.7,11191663795,339000000,2.1091955,21.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,Star Wars: Episode IV - A New Hope,PG,121 min,"Action, Adventure, Fantasy",8.6,"1,367,430",$322.74M,2,1260759131,25921089,2996,2,2992.247472,3.75252809,2994,0.007715725,0.014476738,0.001254083,med,high,2,2,small,low,unacc,08/07/2017 16:11,"$50,042 ","$71,607 ","$76,250 ",16th Ave Farmers Market,http://16thavefarmersmarket.com,,,,,NE 16th Ave & Broadway,Portland,Multnomah,Oregon,06/03/2018 to 10/28/2018,Sun: 9:00 AM-1:30 PM;,-122.64944,45.534496,Y,Y,Y,Y,N,-,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,07/05/2018 17:00,22/01/2019 21:20,Apple Airpods Headphones,1.39E+12,"657 Johnson St, San Francisco, CA 94016",1,150,97.5,150,52.5,1,People,ForeignBornAfricaPct,"Percent of persons born in Africa, 2015-19",n,-0.635,-4.056,113605,-3.268,-0.788,0.471,5.63,1.48,1.62,0.714793709,ASUS,Q410VA-EVO.I5512,USD,Windows 11 has all the po,Austria,AUT,Europe,Western Europe,1.8922789,1.0309912,6743777.578,2615382.378,4128395.2,417240.544,17069.5747,-807782.4114,731409.423,San Salvador,13.6943,-89.2216, El Salvador, North America,5.7,Amazing! Giant Watermelon Juice - Fruit Cutting Skills,2024-02-09T04:27:45Z,14168088,336704,763,i can still lose the weight without feeling deprived,0,https://www.etsy.com/listing/1070681902/halloween-footprint-art-diy-kid-craft?click_key=7610827c8a87b1897c94f48bbcd25906f6dfe8ce%3A1070681902&click_sum=39ea64ab&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-2-1&organic_search_click=1&pro=1&sts=1&dd=1,"Halloween Footprint Art, DIY Kid Craft, Baby Pumpkin Footprint Keepsake, Halloween Printable, Fall Kids Art Project, Pumpkin Handprint Art",$3.75,"Oct 31, 2023",HP,15-fb0147AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹45,990"
